SiteID,ddlongX,ddlatY,DBSWInd,FieldMarginLength,CropCompositionalHeterogeneity,CropArea100,CropArea500,FieldMarginType,
102,108.14335,22.57152,0.304636097,2324.02,0.439889378,41.11008564,91.51458333,BP,
102,108.14482,22.57133,0.636514168,2324.02,0.439889378,41.11008564,91.51458333,CP,"CP = MINOR-MINOR, both sides of the FM had minor crops"
102,108.14449,22.57204,0.693147181,2324.02,0.439889378,41.11008564,91.51458333,WE,"WE = WEED, both sides of the FM had weedy-herbaceous vegetation"
107,108.1596317,22.57418728,0.793807481,1264.12,1.14651724,76.38547094,82.10208333,BP,"BP = CANE-CANE, both sides of the FM had sugarcane/corn"
107,108.1592358,22.5752698,1.205697772,1264.12,1.14651724,76.38547094,82.10208333,BM,"BM = CANE-MINOR, one side of the FM had sugarcane and other side had a minor crop"
107,108.1599764,22.57449463,0.661563238,1264.12,1.14651724,76.38547094,82.10208333,CP,
112,108.1751,22.58697,0.410116318,2557.89,0.910283173,86.07862487,81.28645833,BP,
112,108.17601,22.58783,1.026330633,2557.89,0.910283173,86.07862487,81.28645833,BM,
112,108.17473,22.58802,0.810150232,2557.89,0.910283173,86.07862487,81.28645833,CP,
110,108.20158,22.59218,0.636514168,1503.39,0.991397973,92.65824631,67.15729167,BP,
110,108.20044,22.59242,0.994923633,1503.39,0.991397973,92.65824631,67.15729167,BM,
110,108.20097,22.59347,0.692552532,1503.39,0.991397973,92.65824631,67.15729167,CP,
106,108.2386886,22.58434167,0.831008843,1352.98,1.103967386,94.10513656,58.91666667,BP,
106,108.2394081,22.58349862,1.131455718,1352.98,1.103967386,94.10513656,58.91666667,BM,
106,108.2380494,22.58372178,0.994923633,1352.98,1.103967386,94.10513656,58.91666667,CP,
104,108.2443322,22.61590805,0.578532844,1181.96,0.670346673,76.42324193,72.88645833,BP,
104,108.2434668,22.61512747,1.024601952,1181.96,0.670346673,76.42324193,72.88645833,BM,
104,108.2430346,22.61630028,0.721463687,1181.96,0.670346673,76.42324193,72.88645833,CP,
125,108.22773,22.63479,1.036627969,3013.19,0.99380677,57.17853658,78.42083333,BM,
125,108.22674,22.63478,0.286835983,3013.19,0.99380677,57.17853658,78.42083333,CP,
125,108.22709,22.63573,1.332244922,3013.19,0.99380677,57.17853658,78.42083333,WE,
103,108.25443,22.62975,0.613839411,1051.16,0.720231722,62.96002025,75.17395833,BM,
103,108.25336,22.63033,0.573056917,1051.16,0.720231722,62.96002025,75.17395833,BP,
103,108.25395,22.63077,0.887722672,1051.16,0.720231722,62.96002025,75.17395833,CP,
111,108.24819,22.64905,0.429323022,1641.46,1.375766614,92.43740047,35.80625,BP,
111,108.24725,22.64997,1.157373298,1641.46,1.375766614,92.43740047,35.80625,BM,
111,108.24829,22.6499,0.950748927,1641.46,1.375766614,92.43740047,35.80625,CP,
124,108.23667,22.64381,0.636514168,2971.69,1.29653363,51.81864905,40.76041667,BM,
124,108.23693,22.64284,0.244930027,2971.69,1.29653363,51.81864905,40.76041667,CP,
124,108.23577,22.64376,1.239659392,2971.69,1.29653363,51.81864905,40.76041667,WE,
142,108.15135,22.6006,0.984086503,2917.84,1.422037127,82.65879865,76.375,BP,
142,108.15164,22.59943,1.282849015,2917.84,1.422037127,82.65879865,76.375,BM,
142,108.15222,22.60026,1.379342674,2917.84,1.422037127,82.65879865,76.375,WE,
182,108.14534,22.59123,0.79631164,1884.17,0.88674598,91.09553669,87.915625,BP,
182,108.14443,22.59185,1.12565946,1884.17,0.88674598,91.09553669,87.915625,BM,
182,108.14515,22.59202,1.039720771,1884.17,0.88674598,91.09553669,87.915625,CP,
127,108.17192,22.63246,0.304636097,1627.45,1.539366912,65.59711829,69.865625,BP,
127,108.17275,22.63166,1.029653014,1627.45,1.539366912,65.59711829,69.865625,BM,
127,108.1729,22.63234,0.687092027,1627.45,1.539366912,65.59711829,69.865625,CP,
122,108.17029,22.6439,1.279854226,2957.06,1.667984538,66.57321525,80.11875,BM,
122,108.17089,22.64332,1.214889654,2957.06,1.667984538,66.57321525,80.11875,CP,
122,108.16985,22.64322,1.546598686,2957.06,1.667984538,66.57321525,80.11875,WE,
178,108.16362,22.63957,0.636514168,1928.07,0.684619191,66.27713036,88.45625,BM,
178,108.16312,22.64042,0.348832096,1928.07,0.684619191,66.27713036,88.45625,CP,
178,108.16393,22.64035,0.741748708,1928.07,0.684619191,66.27713036,88.45625,WE,
180,108.1551807,22.6470551,0.410116318,1929.09,1.506987063,37.16395231,61.86979167,CP,
180,108.1545149,22.64630267,0.271189373,1929.09,1.506987063,37.16395231,61.86979167,CP,
180,108.1556318,22.64620205,1.123720664,1929.09,1.506987063,37.16395231,61.86979167,WE,
164,108.47131,22.93399,1.034078793,1475.41,1.27631713,76.91367385,51.97708333,CP,
164,108.47043,22.93398,1.060536245,1475.41,1.27631713,76.91367385,51.97708333,BP,
164,108.46979,22.9345,1.521673885,1475.41,1.27631713,76.91367385,51.97708333,WE,
220,108.47043,22.94241,0.702618006,2300.41,1.329615357,51.00176632,49.428125,CP,
220,108.47092,22.94149,0.585952618,2300.41,1.329615357,51.00176632,49.428125,CP,
220,108.46957,22.94165,1.333577961,2300.41,1.329615357,51.00176632,49.428125,WE,
162,108.47861,22.95442,0.958584942,2348.58,1.415143723,93.19895794,62.99270833,CP,
162,108.47885,22.95558,0.719995007,2348.58,1.415143723,93.19895794,62.99270833,CP,
162,108.47768,22.95495,1.350013504,2348.58,1.415143723,93.19895794,62.99270833,WE,
177,108.47641,22.92433,0.922263734,1566.76,1.05506914,56.64903325,42.46666667,CP,
177,108.47732,22.92418,0.798818405,1566.76,1.05506914,56.64903325,42.46666667,CP,
177,108.47662,22.92344,1.172372703,1566.76,1.05506914,56.64903325,42.46666667,WE,
160,108.4999,22.91264,1.069000874,1691.82,1.119721686,40.20673719,53.959375,BM,
160,108.50034,22.91331,0.755127943,1691.82,1.119721686,40.20673719,53.959375,BP,
160,108.49978,22.9137,1.29164722,1691.82,1.119721686,40.20673719,53.959375,WE,
183,108.51432,22.91577,1.119657523,4276.91,1.565004558,76.76697419,61.45416667,BP,
183,108.51447,22.9149,1.163260553,4276.91,1.565004558,76.76697419,61.45416667,BM,
183,108.51334,22.91514,1.360569912,4276.91,1.565004558,76.76697419,61.45416667,WE,
114,108.5208081,22.9005494,0.392674467,2365.11,0.141422458,78.12449723,58.684375,BP,
114,108.520365,22.90127266,0.430502804,2365.11,0.141422458,78.12449723,58.684375,WE,
114,108.519625,22.90048581,0.278769372,2365.11,0.141422458,78.12449723,58.684375,BP,
184,108.52157,22.89034,0.908831132,2254.92,1.065332475,38.39951341,39.05833333,CP,
184,108.52091,22.88971,0.82240121,2254.92,1.065332475,38.39951341,39.05833333,BP,
184,108.52208,22.88952,1.246127639,2254.92,1.065332475,38.39951341,39.05833333,WE,
185,108.52051,22.87756,1.009613758,2796.45,1.084340906,57.07007588,70.07916667,BM,
185,108.52045,22.87659,0.950270539,2796.45,1.084340906,57.07007588,70.07916667,BM,
185,108.52166,22.87746,1.071128431,2796.45,1.084340906,57.07007588,70.07916667,WE,
126,108.50228,22.87994,0.792923355,2678.69,1.55372097,76.71257279,24.41041667,BP,
126,108.50158,22.88069,0.753334813,2678.69,1.55372097,76.71257279,24.41041667,CP,
126,108.50102,22.87994,1.296578775,2678.69,1.55372097,76.71257279,24.41041667,BM,
154,108.48653,22.89437,0.953214083,943.68,1.095310594,40.68821928,31.51666667,BM,
154,108.4862,22.89387,0.950270539,943.68,1.095310594,40.68821928,31.51666667,CP,
154,108.48605,22.8932,1.186311254,943.68,1.095310594,40.68821928,31.51666667,WE,
146,108.46738,22.87299,1.120118204,2206.48,1.17350337,71.35129902,57.440625,BM,
146,108.46835,22.87239,0.955699891,2206.48,1.17350337,71.35129902,57.440625,CP,
146,108.46828,22.8732,1.359422802,2206.48,1.17350337,71.35129902,57.440625,WE,
165,108.46197,22.88354,0.930299833,2524.71,1.158473706,51.22025303,58.26458333,CP,
165,108.46257,22.88287,0.970115784,2524.71,1.158473706,51.22025303,58.26458333,BM,
165,108.46131,22.88295,1.374311041,2524.71,1.158473706,51.22025303,58.26458333,WE,
135,108.45964,22.89134,1.054920168,1639.64,0.859242033,60.06623451,57.84583333,CP,
135,108.46051,22.8917,1.098612289,1639.64,0.859242033,60.06623451,57.84583333,CP,
135,108.46054,22.89113,1.220282166,1639.64,0.859242033,60.06623451,57.84583333,WE,
163,108.46698,22.89836,1.071018542,1972.06,1.570132459,85.82061519,53.85625,BM,
163,108.46798,22.89809,0.900256051,1972.06,1.570132459,85.82061519,53.85625,CP,
163,108.46764,22.89721,1.500129093,1972.06,1.570132459,85.82061519,53.85625,WE,
205,108.52916,22.92095,1.358182213,2871.4,1.815468312,75.89976509,47.790625,BM,
205,108.53028,22.92109,1.281822096,2871.4,1.815468312,75.89976509,47.790625,CP,
205,108.52961,22.92178,1.6312047,2871.4,1.815468312,75.89976509,47.790625,WE,
206,108.52854,22.91241,0.898137003,1132.95,1.391558437,61.92556795,64.91666667,BP,
206,108.52738,22.91264,0.950270539,1132.95,1.391558437,61.92556795,64.91666667,CP,
206,108.52849,22.91316,0.76475442,1132.95,1.391558437,61.92556795,64.91666667,CP,
173,108.53504,22.92545,0.943748952,1832.92,1.503755661,38.82863278,50.56354167,CP,
173,108.53534,22.9249,0.967606374,1832.92,1.503755661,38.82863278,50.56354167,CP,
173,108.53581,22.92521,1.478483879,1832.92,1.503755661,38.82863278,50.56354167,WE,
158,108.53806,22.91086,0.992281975,2732.84,1.459368664,70.50889034,54.95729167,CP,
158,108.5378,22.90975,0.936888308,2732.84,1.459368664,70.50889034,54.95729167,CP,
158,108.53894,22.91018,1.252237569,2732.84,1.459368664,70.50889034,54.95729167,WE,
128,108.50211,22.68862,1.138889041,3053.5,1.123438847,32.85918592,66.259375,CP,
128,108.50221,22.68974,1.237624593,3053.5,1.123438847,32.85918592,66.259375,CP,
128,108.5013,22.68933,1.500129093,3053.5,1.123438847,32.85918592,66.259375,WE,
187,108.49526,22.70397,0.835686506,1773.06,1.515803279,51.95261721,50.25,CP,
187,108.49564,22.70311,0.616793356,1773.06,1.515803279,51.95261721,50.25,BP,
187,108.49612,22.70376,1.282259664,1773.06,1.515803279,51.95261721,50.25,WE,
155,108.48194,22.7202,0.95800028,2325.5,1.079825429,23.6703598,46.321875,BM,
155,108.48341,22.72039,0.759547391,2325.5,1.079825429,23.6703598,46.321875,CP,
155,108.48262,22.72107,1.07338362,2325.5,1.079825429,23.6703598,46.321875,WE,
153,108.48249,22.70556,1.163090073,2528.68,1.626608332,68.51755286,83.04583333,CP,
153,108.48256,22.70461,1.538969334,2528.68,1.626608332,68.51755286,83.04583333,BM,
153,108.48352,22.70497,1.580514931,2528.68,1.626608332,68.51755286,83.04583333,WE,
156,108.48936,22.66296,0.800846352,1824.76,1.153037822,42.37974702,62.36354167,CP,
156,108.48874,22.66336,0.713360319,1824.76,1.153037822,42.37974702,62.36354167,CP,
156,108.48811,22.66275,1.481916179,1824.76,1.153037822,42.37974702,62.36354167,WE,
175,108.47738,22.68128,0.871427327,2002.33,0.685728042,46.88494046,64.67083333,CP,
175,108.47783,22.68037,0.845744581,2002.33,0.685728042,46.88494046,64.67083333,CP,
175,108.47687,22.6804,0.885712382,2002.33,0.685728042,46.88494046,64.67083333,WE,
520,108.4912,22.64501,0.176326265,3538.7,1.445288381,67.78430518,74.6625,CP,
520,108.49002,22.64493,0.954460613,3538.7,1.445288381,67.78430518,74.6625,BM,
520,108.49059,22.64385,0.553982827,3538.7,1.445288381,67.78430518,74.6625,CP,
190,108.52853,22.70543,0.950270539,2222.26,1.031904567,65.86713004,82.86354167,BP,
190,108.52909,22.70451,1.054920168,2222.26,1.031904567,65.86713004,82.86354167,BP,
190,108.52786,22.70482,1.194272684,2222.26,1.031904567,65.86713004,82.86354167,WE,
137,108.53239,22.69582,1.51766453,2375.06,1.725667656,72.2915733,54.66979167,BM,
137,108.53321,22.69491,1.237003085,2375.06,1.725667656,72.2915733,54.66979167,BM,
137,108.53242,22.69513,1.656048236,2375.06,1.725667656,72.2915733,54.66979167,WE,
540,108.51845,22.70239,0.841842498,2956.82,1.10560114,69.08830661,79.62291667,CP,
540,108.51989,22.70287,0.925129084,2956.82,1.10560114,69.08830661,79.62291667,CP,
540,108.51924,22.70201,1.461472129,2956.82,1.10560114,69.08830661,79.62291667,WE,
159,108.45897,22.71118,0.974314753,2962.67,0.912468755,29.60286348,61.859375,CP,
159,108.45824,22.71056,0.585952618,2962.67,0.912468755,29.60286348,61.859375,CP,
159,108.45939,22.71018,1.105363485,2962.67,0.912468755,29.60286348,61.859375,WE,
174,108.46828,22.70596,0.85482864,3554.03,0.919121852,84.09027778,75.13333333,CP,
174,108.46959,22.70567,0.559834326,3554.03,0.919121852,84.09027778,75.13333333,CP,
174,108.46924,22.70651,0.570047171,3554.03,0.919121852,84.09027778,75.13333333,CP,
171,108.44717,22.70416,0.99326821,2649.15,1.343483192,86.1958801,66.76666667,BM,
171,108.44764,22.70344,0.585952618,2649.15,1.343483192,86.1958801,66.76666667,CP,
171,108.4465,22.70332,1.29983839,2649.15,1.343483192,86.1958801,66.76666667,WE,
141,108.45953,22.70139,1.240684292,4095.44,1.612695331,73.04647126,77.75833333,BM,
141,108.45888,22.70037,0.867563228,4095.44,1.612695331,73.04647126,77.75833333,CP,
141,108.46014,22.70064,1.258991029,4095.44,1.612695331,73.04647126,77.75833333,WE,
147,108.44331,22.68626,0.900256051,1768.24,1.318342901,50.02041952,49.925,CP,
147,108.44453,22.68622,1.140210234,1768.24,1.318342901,50.02041952,49.925,BM,
147,108.44424,22.68695,1.503261345,1768.24,1.318342901,50.02041952,49.925,WE,
157,108.43693,22.6674,1.339806121,1945.51,1.758936581,40.15097697,53.86145833,CP,
157,108.43755,22.66665,1.091786238,1945.51,1.758936581,40.15097697,53.86145833,CP,
157,108.43655,22.66619,1.369784304,1945.51,1.758936581,40.15097697,53.86145833,WE,
149,108.44333,22.66466,0.962267837,1862.8,1.148388846,36.48022984,64.62916667,CP,
149,108.44442,22.66555,0.519579839,1862.8,1.148388846,36.48022984,64.62916667,CP,
149,108.44353,22.66612,1.26142783,1862.8,1.148388846,36.48022984,64.62916667,WE,